Observation	Action i	Action j	Action hot bits	Reward	Evaluation time	Agent seed
[128   0   0 ...   0   0   0]	1	5	[485 235 414 208 342 209 161]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	6	[390 308 367 208 394 111 410]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	7	[456 139 206 199 409 165 491]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	8	[374  37 446 181 245  94 206]	-9.08533602405734	0.01566457748413086	
[128   0   0 ...   0   0   0]	1	9	[ 22 157 377 268 178 375  31]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	10	[508 135 108 390  52  24 196]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	11	[173 253 391 304 445 307 196]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	12	[ 92 133 441 476 295 349 501]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	13	[343  87 112 265 245  73 125]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	14	[303  68 315 329 426  47 437]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	0	[ 22  63 261  45  56 348  71]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	1	[182 101 130 277 453 347 313]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	2	[ 38 338 316 412 368 306 489]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	3	[489 159   5  69 203  64 296]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	4	[ 79 333 501 132 424 479 157]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	5	[ 31 427 150 400 127 360 271]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	6	[ 64 227 460 360  28  60 327]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	7	[254 388 304 404 178  60  62]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	8	[473  25 138 402 171  54 427]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	9	[202 100 126 448 110 139  86]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	10	[ 57  99  10  64  18 131 106]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	11	[274 407  17 143 109 114  46]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	12	[372 134  84 212 111 170   4]	-9.08533602405734	0.015628576278686523	
[128   0   0 ...   0   0   0]	0	13	[ 15 497  19 253 156  62  37]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	14	[421 160  71 304  59 144 289]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	0	[214 482 183 292  49  35 466]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	1	[462 505 501 145 292 196 245]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	2	[372 187  11  59 475 271 171]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	3	[  6 281 506  81  10 479 362]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	4	[  9 243  64 373  35  84  63]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	5	[279 407 285 501 153 147 427]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	6	[250 149 324 230  96  19 436]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	7	[142 446 312 198 486  14 324]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	8	[462 134  65 419 302 204 103]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	9	[138 454 369 119 383  31  13]	-9.08533602405734	0.0156400203704834	
[128   0   0 ...   0   0   0]	1	10	[506  80  98 493 370  76 104]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	11	[297 436 217 433  58 288 184]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	12	[338 370 465 238  37 134 483]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	13	[399 491 373 220 252 498 475]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	1	14	[186 216 201 440  19 415 456]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	0	[259 144  87 439 162 281  52]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	1	[ 99  67 101  86 433 166  29]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	2	[201  60 484 240  46  52 497]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	3	[303 285  12 129 390  76 376]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	4	[405 160 144   1 432 172 489]	-9.08533602405734	0.015627145767211914	
[128   0   0 ...   0   0   0]	0	5	[ 53 189 377 369 346 413   1]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	6	[384 292 162 161  61 456 142]	-9.08533602405734	0.0	
[128   0   0 ...   0   0   0]	0	7	[ 82 291 480 375 134 112 258]	-9.08533602405734	0.0	
